theta;R_S;R_P
;63.6;62.8
10;49.9;51.8
15;50.4;51.4
20;51;51.6
25;51.4;51.6
30;52.7;51.8
35;53.5;52.1
40;55.2;52.2
45;56.4;52.2
50;57.7;52
55;58.8;52
60;59.6;51.7
65;;49
70;;44.5
75;;35.7
